model,accuracy,f1_macro,precision_macro,recall_macro,roc_auc_ovr
GradientBoosting,0.6479591836734694,0.6294578509805525,0.649025417105002,0.631967052555288,0.9510688466593514
RandomForest,0.6173469387755102,0.5867205667981915,0.5940688108508178,0.5937011517893871,0.9610788893475747
KNN,0.5867346938775511,0.5666230080717424,0.5874173985629093,0.572960128107187,0.8577507298842704
LogisticRegression,0.5969387755102041,0.5655151923855926,0.5618520024866774,0.5837667234726058,0.9445636571664733
SVC,0.576530612244898,0.5407636302544834,0.5465686274509803,0.5555515562868504,0.9441375659430923
GaussianNB,0.4846938775510204,0.46450960384506923,0.494484611012744,0.4734672190554544,0.9334096471370127
