,0
H_mean,0.04673263767623794
S_mean,0.042936685645168005
V_mean,0.042541787373692005
lbp_var,0.014432642615539906
circularity,0.002318453667539534
eccentricity,0.0019371558716145256
solidity,0.0016934776390515062
glcm_homogeneity,0.0014340111277286996
frac_dark,0.0009640160567896084
glcm_contrast,0.0006362294766634532
